root@gitlab:~/dev/work/repositories/arc_study# python -m arc.run
INFO    | ARC | Task  96 | Failed    | runtime: 0.965s memory: 252.58Mb
INFO    | ARC | Task  98 | Failed    | runtime: 0.962s memory: 272.50Mb
INFO    | ARC | Task  99 | Failed    | runtime: 1.889s memory: 252.58Mb
INFO    | ARC | Task 101 | *Passed    | runtime: 0.248s memory: 252.58Mb
INFO    | ARC | Task 100 | Failed    | runtime: 1.477s memory: 272.50Mb
INFO    | ARC | Task 102 | Failed    | runtime: 0.960s memory: 252.58Mb
INFO    | ARC | Task 104 | Failed    | runtime: 0.029s memory: 252.58Mb
INFO    | ARC | Task 105 | Failed    | runtime: 0.084s memory: 252.58Mb
INFO    | ARC | Task 106 | Failed    | runtime: 0.620s memory: 252.58Mb
INFO    | ARC | Task 103 | Failed    | runtime: 1.905s memory: 272.50Mb
INFO    | ARC | Task 107 | *Passed    | runtime: 0.213s memory: 252.58Mb
INFO    | ARC | Task  81 | Failed    | runtime: 14.147s memory: 661.96Mb
INFO    | ARC | Task 109 | Failed    | runtime: 1.503s memory: 252.58Mb
INFO    | ARC | Task 112 | Failed    | runtime: 0.284s memory: 252.58Mb
INFO    | ARC | Task 113 | Failed    | runtime: 0.565s memory: 252.58Mb
INFO    | ARC | Task 114 | Failed    | runtime: 0.329s memory: 252.58Mb
INFO    | ARC | Task 108 | Failed    | runtime: 2.935s memory: 272.50Mb
INFO    | ARC | Task 115 | Failed    | runtime: 0.358s memory: 252.58Mb
INFO    | ARC | Task 117 | *Passed    | runtime: 0.250s memory: 252.58Mb
INFO    | ARC | Task  78 | Failed    | runtime: 18.217s memory: 203.90Mb
INFO    | ARC | Task 116 | Failed    | runtime: 0.623s memory: 272.50Mb
INFO    | ARC | Task 120 | Failed    | runtime: 0.713s memory: 203.90Mb
INFO    | ARC | Task 122 | Failed    | runtime: 0.541s memory: 203.90Mb
INFO    | ARC | Task 123 | Failed    | runtime: 0.375s memory: 203.90Mb
INFO    | ARC | Task  97 | Failed    | runtime: 11.187s memory: 505.20Mb
INFO    | ARC | Task 125 | Failed    | runtime: 0.184s memory: 505.20Mb
INFO    | ARC | Task 124 | Failed    | runtime: 1.728s memory: 203.90Mb
INFO    | ARC | Task 127 | Failed    | runtime: 0.316s memory: 203.90Mb
INFO    | ARC | Task 121 | Failed    | runtime: 3.816s memory: 272.50Mb
INFO    | ARC | Task 128 | Failed    | runtime: 1.868s memory: 203.90Mb
INFO    | ARC | Task 130 | Failed    | runtime: 0.053s memory: 203.90Mb
INFO    | ARC | Task 129 | *Passed    | runtime: 2.478s memory: 272.50Mb
INFO    | ARC | Task 131 | Failed    | runtime: 0.921s memory: 203.90Mb
INFO    | ARC | Task 133 | Failed    | runtime: 0.294s memory: 203.90Mb
INFO    | ARC | Task 132 | Failed    | runtime: 0.625s memory: 272.50Mb
INFO    | ARC | Task 126 | Failed    | runtime: 4.125s memory: 505.20Mb
INFO    | ARC | Task 136 | Failed    | runtime: 1.112s memory: 505.20Mb
INFO    | ARC | Task 135 | Failed    | runtime: 1.593s memory: 272.50Mb
INFO    | ARC | Task 137 | Failed    | runtime: 0.326s memory: 505.20Mb
INFO    | ARC | Task 134 | Failed    | runtime: 3.702s memory: 203.90Mb
INFO    | ARC | Task 138 | Failed    | runtime: 2.452s memory: 272.50Mb
INFO    | ARC | Task 141 | *Passed    | runtime: 0.038s memory: 272.50Mb
INFO    | ARC | Task 140 | Failed    | runtime: 0.540s memory: 203.90Mb
INFO    | ARC | Task 142 | Failed    | runtime: 0.225s memory: 272.50Mb
INFO    | ARC | Task 143 | *Passed    | runtime: 0.966s memory: 203.90Mb
INFO    | ARC | Task 145 | Failed    | runtime: 0.460s memory: 203.90Mb
INFO    | ARC | Task 144 | Failed    | runtime: 2.016s memory: 272.50Mb
INFO    | ARC | Task 146 | Failed    | runtime: 0.986s memory: 203.90Mb
INFO    | ARC | Task 148 | Failed    | runtime: 0.358s memory: 203.90Mb
INFO    | ARC | Task 147 | Failed    | runtime: 0.704s memory: 272.50Mb
INFO    | ARC | Task 139 | Failed    | runtime: 5.855s memory: 505.20Mb
INFO    | ARC | Task 151 | *Passed    | runtime: 0.318s memory: 505.20Mb
INFO    | ARC | Task 150 | Failed    | runtime: 0.952s memory: 272.50Mb
INFO    | ARC | Task 149 | Failed    | runtime: 1.656s memory: 203.90Mb
INFO    | ARC | Task 152 | Failed    | runtime: 0.799s memory: 505.20Mb
INFO    | ARC | Task 154 | Failed    | runtime: 0.341s memory: 203.90Mb
INFO    | ARC | Task 153 | *Passed    | runtime: 0.940s memory: 272.50Mb
INFO    | ARC | Task 156 | *Passed    | runtime: 0.481s memory: 203.90Mb
INFO    | ARC | Task 157 | Failed    | runtime: 1.008s memory: 272.50Mb
INFO    | ARC | Task 155 | Failed    | runtime: 1.710s memory: 505.20Mb
INFO    | ARC | Task 158 | Failed    | runtime: 1.109s memory: 203.90Mb
INFO    | ARC | Task 161 | Failed    | runtime: 0.526s memory: 203.90Mb
INFO    | ARC | Task 160 | Failed    | runtime: 1.164s memory: 505.20Mb
INFO    | ARC | Task 159 | Failed    | runtime: 3.235s memory: 272.50Mb
INFO    | ARC | Task 163 | Failed    | runtime: 2.453s memory: 203.90Mb
INFO    | ARC | Task 164 | Failed    | runtime: 2.129s memory: 505.20Mb
INFO    | ARC | Task 168 | Failed    | runtime: 0.079s memory: 505.20Mb
INFO    | ARC | Task 167 | Failed    | runtime: 0.559s memory: 203.90Mb
INFO    | ARC | Task 169 | Failed    | runtime: 0.268s memory: 505.20Mb
INFO    | ARC | Task 166 | Failed    | runtime: 1.320s memory: 272.50Mb
INFO    | ARC | Task 172 | Failed    | runtime: 0.045s memory: 272.50Mb
INFO    | ARC | Task 173 | Failed    | runtime: 0.461s memory: 272.50Mb
INFO    | ARC | Task 170 | Failed    | runtime: 1.093s memory: 203.90Mb
INFO    | ARC | Task 171 | Failed    | runtime: 2.096s memory: 505.20Mb
INFO    | ARC | Task 177 | Failed    | runtime: 0.225s memory: 505.20Mb
INFO    | ARC | Task 178 | Failed    | runtime: 0.629s memory: 505.20Mb
INFO    | ARC | Task 174 | Failed    | runtime: 2.262s memory: 272.50Mb
INFO    | ARC | Task 180 | *Passed    | runtime: 0.110s memory: 272.50Mb
INFO    | ARC | Task 179 | Failed    | runtime: 0.345s memory: 505.20Mb
INFO    | ARC | Task 182 | Failed    | runtime: 0.244s memory: 505.20Mb
INFO    | ARC | Task 111 | Failed    | runtime: 28.505s memory: 661.96Mb
INFO    | ARC | Task 181 | Failed    | runtime: 1.571s memory: 272.50Mb
